000042	000042	中洲控股	10.74	0.00	0	11.81	9.67	664831139	662202464	1	0.01	19940921		000042	000042	0.00	N	0		0	0	0	0	0		69210112	0	
000045	000045	深纺织Ａ	7.37	0.00	0	8.11	6.63	509338429	457021849	1	0.01	19940815		000045	000045	0.00	N	0		0	0	0	0	0		69210112	0	
000046	000046	泛海控股	4.50	0.00	0	4.95	4.05	5196200656	5174964633	1	0.01	19940912		000046	000046	0.00	N	0		0	0	0	0	0		69210112	0	
000048	000048	康达尔	21.56	0.00	0	23.72	19.40	402491731	402428671	1	0.01	19941101		000048	000048	0.00	N	0		0	0	0	0	0		69210112	0	
000049	000049	德赛电池	39.41	0.00	0	43.35	35.47	207197738	205243738	1	0.01	19950320		000049	000049	0.00	N	0		0	0	0	0	0		69210112	0	
000050	000050	深天马Ａ	16.50	0.00	0	18.15	14.85	2048123051	1828857609	1	0.01	19950315		000050	000050	0.00	N	0		0	0	0	0	0		69210112	0	
000055	000055	方大集团	4.51	0.00	0	4.96	4.06	1123384189	678283904	1	0.01	19960415		000055	000055	0.00	N	0		0	0	0	0	0		69210112	0	
000056	000056	皇庭国际	4.20	0.00	0	4.62	3.78	1175345368	903733208	1	0.01	19960708		000056	000056	0.00	N	0		0	0	0	0	0		69210112	0	
000058	000058	深 赛 格	7.35	0.00	0	8.09	6.62	1235656249	538039603	1	0.01	19961226		000058	000058	0.00	N	0		0	0	0	0	0		69210112	0	
000059	000059	华锦股份	5.89	0.00	0	6.48	5.30	1599442537	1599439081	1	0.01	19970130		000059	000059	0.00	N	0		0	0	0	0	0		69210112	0	
000060	000060	中金岭南	4.05	0.00	0	4.46	3.65	3569685327	3568237689	1	0.01	19970123		000060	000060	0.00	N	0		0	0	0	0	0		69210112	0	
000061	000061	农 产 品	5.49	0.00	0	6.04	4.94	1696964131	1695416233	1	0.01	19970110		000061	000061	0.00	N	0		0	0	0	0	0		69210112	0	
000062	000062	深圳华强	14.33	0.00	0	15.76	12.90	1045909322	1044645006	1	0.01	19970130		000062	000062	0.00	N	0		0	0	0	0	0		69210112	0	
000063	000063	中兴通讯	32.26	0.00	0	35.49	29.03	4192671843	3434115193	1	0.01	19971118		000063	000063	0.00	N	0		0	0	0	0	0		69210112	0	
000065	000065	北方国际	8.33	0.00	0	9.16	7.50	769505410	628943607	1	0.01	19980605		000065	000065	0.00	N	0		0	0	0	0	0		69210112	0	
000066	000066	中国长城	15.63	0.00	0	17.19	14.07	2928182053	2490702309	1	0.01	19970626		000066	000066	0.00	N	0		0	0	0	0	0		69210112	0	
000068	000068	华控赛格	4.01	0.00	0	4.41	3.61	1006671464	1006671464	1	0.01	19970611		000068	000068	0.00	N	0		0	0	0	0	0		69210112	0	
000069	000069	华侨城Ａ	7.39	0.00	0	8.13	6.65	8202506415	7016787409	1	0.01	19970910		000069	000069	0.00	N	0		0	0	0	0	0		69210112	0	
000070	000070	特发信息	10.66	0.00	0	11.73	9.59	813325730	791991380	1	0.01	20000511		000070	000070	0.00	N	0		0	0	0	0	0		69210112	0	
000078	000078	海王生物	3.31	0.00	0	3.64	2.98	2762583257	2621960807	1	0.01	19981218		000078	000078	0.00	N	0		0	0	0	0	0		69210112	0	
000088	000088	盐 田 港	5.49	0.00	0	6.04	4.94	1942200000	1942200000	1	0.01	19970728		000088	000088	0.00	N	0		0	0	0	0	0		69210112	0	
000089	000089	深圳机场	9.69	0.00	0	10.66	8.72	2050769509	2050769509	1	0.01	19980420		000089	000089	0.00	N	0		0	0	0	0	0		69210112	0	
000090	000090	天健集团	5.08	0.00	0	5.59	4.57	1868545434	1868415681	1	0.01	19990721		000090	000090	0.00	N	0		0	0	0	0	0		69210112	0	
000096	000096	广聚能源	11.10	0.00	0	12.21	9.99	528000000	510848000	1	0.01	20000724		000096	000096	0.00	N	0		0	0	0	0	0		69210112	0	
000099	000099	中信海直	7.25	0.00	0	7.98	6.53	606070420	606070420	1	0.01	20000731		000099	000099	0.00	N	0		0	0	0	0	0		69210112	0	
000100	000100	TCL 集团	4.39	0.00	0	4.83	3.95	13528438719	12783844749	1	0.01	20040130		000100	000100	0.00	N	0		0	0	0	0	0		69210112	0	
000150	000150	宜华健康	4.84	0.00	0	5.32	4.36	877697557	805990242	1	0.01	20000807		000150	000150	0.00	N	0		0	0	0	0	0		69210112	0	
000151	000151	中成股份	10.24	0.00	0	11.26	9.22	295980000	266543967	1	0.01	20000906		000151	000151	0.00	N	0		0	0	0	0	0		69210112	0	
000153	000153	丰原药业	6.27	0.00	0	6.90	5.64	312141230	311977230	1	0.01	20000920		000153	000153	0.00	N	0		0	0	0	0	0		69210112	0	
000155	000155	川能动力	4.20	0.00	0	4.62	3.78	1270000000	1270000000	1	0.01	20000926		000155	000155	0.00	N	0		0	0	0	0	0		69210112	0	
000156	000156	华数传媒	9.82	0.00	0	10.80	8.84	1433351902	1280295337	1	0.01	20121019		000156	000156	0.00	N	0		0	0	0	0	0		69210112	0	
000157	000157	中联重科	6.39	0.00	0	7.03	5.75	7868536630	6350855346	1	0.01	20001012		000157	000157	0.00	N	0		0	0	0	0	0		69210112	0	
000158	000158	常山北明	6.25	0.00	0	6.88	5.63	1598616721	1569910190	1	0.01	20000724		000158	000158	0.00	N	0		0	0	0	0	0		69210112	0	
000159	000159	国际实业	5.75	0.00	0	6.33	5.18	480685993	480685993	1	0.01	20000926		000159	000159	0.00	N	0		0	0	0	0	0		69210112	0	
000166	000166	申万宏源	4.91	0.00	0	5.40	4.42	25039944560	22534414205	1	0.01	20150126		000166	000166	0.00	N	0		0	0	0	0	0		69210112	0	
000301	000301	东方盛虹	5.13	0.00	0	5.64	4.62	4029053222	1218236445	1	0.01	20000529		000301	000301	0.00	N	0		0	0	0	0	0		69210112	0	
000333	000333	美的集团	57.27	0.00	0	63.00	51.54	6938903035	6801812922	1	0.01	20130918		000333	000333	0.00	N	0		0	0	0	0	0		69210112	0	
000338	000338	潍柴动力	14.77	0.00	0	16.25	13.29	7933873895	4245035750	1	0.01	20070430		000338	000338	0.00	N	0		0	0	0	0	0		69210112	0	
000400	000400	许继电气	10.55	0.00	0	11.61	9.50	1008327309	1008180305	1	0.01	19970418		000400	000400	0.00	N	0		0	0	0	0	0		69210112	0	
000401	000401	冀东水泥	15.44	0.00	0	16.98	13.90	1347522914	1347214601	1	0.01	19960614		000401	000401	0.00	N	0		0	0	0	0	0		69210112	0	
000402	000402	金 融 街	7.96	0.00	0	8.76	7.16	2988929907	2987631546	1	0.01	19960626		000402	000402	0.00	N	0		0	0	0	0	0		69210112	0	
000403	000403	双林生物	30.25	0.00	0	33.28	27.23	272577599	271404099	1	0.01	19960628		000403	000403	0.00	N	0		0	0	0	0	0		69210112	0	
000404	000404	长虹华意	3.87	0.00	0	4.26	3.48	695995979	694622798	1	0.01	19960619		000404	000404	0.00	N	0		0	0	0	0	0		69210112	0	
000407	000407	胜利股份	3.56	0.00	0	3.92	3.20	880084656	875743830	1	0.01	19960703		000407	000407	0.00	N	0		0	0	0	0	0		69210112	0	
000408	000408	藏格控股	7.09	0.00	0	7.80	6.38	1993779522	473486085	1	0.01	19960628		000408	000408	0.00	N	0		0	0	0	0	0		69210112	0	
000409	000409	ST地矿	5.15	0.00	0	5.41	4.89	510931158	405631244	1	0.01	20050530		000409	000409	0.00	N	0		0	0	0	0	0		69210112	65536	
000410	000410	*ST沈机	6.95	0.00	0	7.30	6.60	1684035944	1680914444	1	0.01	19960718		000410	000410	0.00	N	0		0	0	0	0	0		69210112	65536	
000411	000411	英特集团	11.81	0.00	0	12.99	10.63	248939935	207317071	1	0.01	20020625		000411	000411	0.00	N	0		0	0	0	0	0		69210112	0	
000413	000413	东旭光电	3.37	0.00	0	3.71	3.03	5730250118	4864155314	1	0.01	19960925		000413	000413	0.00	N	0		0	0	0	0	0		69210112	0	
000415	000415	渤海租赁	3.70	0.00	0	4.07	3.33	6184521282	3547396604	1	0.01	19960716		000415	000415	0.00	N	0		0	0	0	0	0		69210112	0	
000416	000416	民生控股	5.46	0.00	0	6.01	4.91	531871494	531641098	1	0.01	19960719		000416	000416	0.00	N	0		0	0	0	0	0		69210112	0	
000417	000417	合肥百货	4.83	0.00	0	5.31	4.35	779884200	779027451	1	0.01	19960812		000417	000417	0.00	N	0		0	0	0	0	0		69210112	0	
000419	000419	通程控股	4.50	0.00	0	4.95	4.05	543582655	543289983	1	0.01	19960816		000419	000419	0.00	N	0		0	0	0	0	0		69210112	0	
000420	000420	吉林化纤	2.14	0.00	0	2.35	1.93	1970706656	1850480524	1	0.01	19960802		000420	000420	0.00	N	0		0	0	0	0	0		69210112	0	
000421	000421	南京公用	4.44	0.00	0	4.88	4.00	572646934	572646934	1	0.01	19960806		000421	000421	0.00	N	0		0	0	0	0	0		69210112	0	
000422	000422	ST宜化	2.87	0.00	0	3.01	2.73	897866712	897812984	1	0.01	19960815		000422	000422	0.00	N	0		0	0	0	0	0		69210112	65536	
