90	000090	天健集团	5.08	0.0	0	5.59	4.57	1868545434	1868415681	1	0.01	19990721	
96	000096	广聚能源	11.1	0.0	0	12.21	9.99	528000000	510848000	1	0.01	20000724	
99	000099	中信海直	7.25	0.0	0	7.98	6.53	606070420	606070420	1	0.01	20000731	
100	000100	TCL 集团	4.39	0.0	0	4.83	3.95	13528438719	12783844749	1	0.01	20040130	
150	000150	宜华健康	4.84	0.0	0	5.32	4.36	877697557	805990242	1	0.01	20000807	
151	000151	中成股份	10.24	0.0	0	11.26	9.22	295980000	266543967	1	0.01	20000906	
153	000153	丰原药业	6.27	0.0	0	6.9	5.64	312141230	311977230	1	0.01	20000920	
155	000155	川能动力	4.2	0.0	0	4.62	3.78	1270000000	1270000000	1	0.01	20000926	
156	000156	华数传媒	9.82	0.0	0	10.8	8.84	1433351902	1280295337	1	0.01	20121019	
157	000157	中联重科	6.39	0.0	0	7.03	5.75	7868536630	6350855346	1	0.01	20001012	
158	000158	常山北明	6.25	0.0	0	6.88	5.63	1598616721	1569910190	1	0.01	20000724	
159	000159	国际实业	5.75	0.0	0	6.33	5.18	480685993	480685993	1	0.01	20000926	
166	000166	申万宏源	4.91	0.0	0	5.4	4.42	25039944560	22534414205	1	0.01	20150126	
301	000301	东方盛虹	5.13	0.0	0	5.64	4.62	4029053222	1218236445	1	0.01	20000529	
333	000333	美的集团	57.27	0.0	0	63.0	51.54	6938903035	6801812922	1	0.01	20130918	
338	000338	潍柴动力	14.77	0.0	0	16.25	13.29	7933873895	4245035750	1	0.01	20070430	
400	000400	许继电气	10.55	0.0	0	11.61	9.5	1008327309	1008180305	1	0.01	19970418	
401	000401	冀东水泥	15.44	0.0	0	16.98	13.9	1347522914	1347214601	1	0.01	19960614	
402	000402	金 融 街	7.96	0.0	0	8.76	7.16	2988929907	2987631546	1	0.01	19960626	
403	000403	双林生物	30.25	0.0	0	33.28	27.23	272577599	271404099	1	0.01	19960628	
404	000404	长虹华意	3.87	0.0	0	4.26	3.48	695995979	694622798	1	0.01	19960619	
407	000407	胜利股份	3.56	0.0	0	3.92	3.2	880084656	875743830	1	0.01	19960703	
408	000408	藏格控股	7.09	0.0	0	7.8	6.38	1993779522	473486085	1	0.01	19960628	
409	000409	ST地矿	5.15	0.0	0	5.41	4.89	510931158	405631244	1	0.01	20050530	
410	000410	*ST沈机	6.95	0.0	0	7.3	6.6	1684035944	1680914444	1	0.01	19960718	
411	000411	英特集团	11.81	0.0	0	12.99	10.63	248939935	207317071	1	0.01	20020625	
413	000413	东旭光电	3.37	0.0	0	3.71	3.03	5730250118	4864155314	1	0.01	19960925	
415	000415	渤海租赁	3.7	0.0	0	4.07	3.33	6184521282	3547396604	1	0.01	19960716	
416	000416	民生控股	5.46	0.0	0	6.01	4.91	531871494	531641098	1	0.01	19960719	
417	000417	合肥百货	4.83	0.0	0	5.31	4.35	779884200	779027451	1	0.01	19960812	
419	000419	通程控股	4.5	0.0	0	4.95	4.05	543582655	543289983	1	0.01	19960816	
420	000420	吉林化纤	2.14	0.0	0	2.35	1.93	1970706656	1850480524	1	0.01	19960802	
421	000421	南京公用	4.44	0.0	0	4.88	4.0	572646934	572646934	1	0.01	19960806	
422	000422	ST宜化	2.87	0.0	0	3.01	2.73	897866712	897812984	1	0.01	19960815	
423	000423	东阿阿胶	34.89	0.0	0	38.38	31.4	654021537	653867313	1	0.01	19960729	
425	000425	徐工机械	5.05	0.0	0	5.56	4.55	7833668430	6995037403	1	0.01	19960828	
426	000426	兴业矿业	4.51	0.0	0	4.96	4.06	1837192219	1298967555	1	0.01	19960828	
428	000428	华天酒店	2.56	0.0	0	2.82	2.3	1018926000	1018884450	1	0.01	19960808	
429	000429	粤高速Ａ	7.98	0.0	0	8.78	7.18	2090806126	1302772793	1	0.01	19980220	
430	000430	张家界	5.08	0.0	0	5.59	4.57	404817686	331738800	1	0.01	19960829	
488	000488	晨鸣纸业	4.8	0.0	0	5.28	4.32	2904608200	1656524003	1	0.01	20001120	
498	000498	山东路桥	4.55	0.0	0	5.01	4.1	1120139063	1120080313	1	0.01	19970609	
501	000501	鄂武商Ａ	12.88	0.0	0	14.17	11.59	768992731	767757255	1	0.01	19921119	
502	000502	绿景控股	7.01	0.0	0	7.71	6.31	184819607	183346957	1	0.01	19921122	
503	000503	国新健康	17.4	0.0	0	19.14	15.66	898822204	898779932	1	0.01	19921129	
504	000504	*ST生物	8.52	0.0	0	8.95	8.09	311573901	310673201	1	0.01	19921207	
505	000505	京粮控股	5.31	0.0	0	5.84	4.78	685790364	406127806	1	0.01	19921220	
506	000506	中润资源	2.85	0.0	0	3.14	2.57	929017761	928670961	1	0.01	19930311	
507	000507	珠海港	6.11	0.0	0	6.72	5.5	930424895	772143777	1	0.01	19930325	
509	000509	华塑控股	2.39	0.0	0	2.63	2.15	825483117	825479873	1	0.01	19930506	
510	000510	新金路	3.86	0.0	0	4.25	3.47	609182254	549479157	1	0.01	19930506	
513	000513	丽珠集团	31.13	0.0	0	34.24	28.02	934762675	595589144	1	0.01	19931028	
514	000514	渝 开 发	3.97	0.0	0	4.37	3.57	843770965	843770965	1	0.01	19930710	
516	000516	国际医学	4.52	0.0	0	4.97	4.07	1971049302	1929001640	1	0.01	19930807	
517	000517	荣安地产	2.62	0.0	0	2.88	2.36	3183922485	3035707316	1	0.01	19930804	
518	000518	四环生物	3.3	0.0	0	3.63	2.97	1029556222	1029535693	1	0.01	19920624	
519	000519	中兵红箭	7.57	0.0	0	8.33	6.81	1392558982	932647561	1	0.01	19931007	
520	000520	长航凤凰	4.27	0.0	0	4.7	3.84	1012083455	1012083455	1	0.01	19931025	
521	000521	长虹美菱	3.32	0.0	0	3.65	2.99	1044597881	872090413	1	0.01	19931018	
523	000523	广州浪奇	7.36	0.0	0	8.1	6.62	627533125	626903116	1	0.01	19931108	
524	000524	岭南控股	7.27	0.0	0	8.0	6.54	670208597	272301442	1	0.01	19931118	
525	000525	红 太 阳	9.9	0.0	0	10.89	8.91	580772873	574398865	1	0.01	19931028	
526	000526	紫光学大	30.99	0.0	0	34.09	27.89	96195107	96195107	1	0.01	19931101	
528	000528	柳 工	6.54	0.0	0	7.19	5.89	1476111376	1462622772	1	0.01	19931118	
529	000529	广弘控股	6.61	0.0	0	7.27	5.95	583790330	569884377	1	0.01	19931118	
530	000530	大冷股份	3.84	0.0	0	4.22	3.46	843212507	597747977	1	0.01	19931208	
531	000531	穗恒运Ａ	6.64	0.0	0	7.3	5.98	685082820	685082820	1	0.01	19940106	
532	000532	华金资本	11.26	0.0	0	12.39	10.13	344708340	343483446	1	0.01	19940103	
533	000533	顺钠股份	2.73	0.0	0	3.0	2.46	690816000	684902400	1	0.01	19940103	
534	000534	万泽股份	9.06	0.0	0	9.97	8.15	491785096	491375657	1	0.01	19940110	
536	000536	华映科技	2.9	0.0	0	3.19	2.61	2766032803	2763081622	1	0.01	20020628	
537	000537	广宇发展	7.77	0.0	0	8.55	6.99	1862520720	405945814	1	0.01	19931210	
538	000538	云南白药	86.46	0.0	0	95.11	77.81	1277403317	605664832	1	0.01	19931215	
539	000539	粤电力Ａ	4.03	0.0	0	4.43	3.63	5250283986	2553907040	1	0.01	19931126	
540	000540	中天金融	3.28	0.0	0	3.61	2.95	7005254679	6957049188	1	0.01	19940202	
541	000541	佛山照明	4.8	0.0	0	5.28	4.32	1399346154	1072071544	1	0.01	19931123	
543	000543	皖能电力	4.57	0.0	0	5.03	4.11	2266863331	1790395978	1	0.01	19931220	
544	000544	中原环保	6.15	0.0	0	6.77	5.54	974684488	974684488	1	0.01	19931208	
545	000545	金浦钛业	2.95	0.0	0	3.25	2.66	986833096	959403096	1	0.01	20130726	
546	000546	金圆股份	10.29	0.0	0	11.32	9.26	714644396	667936120	1	0.01	20020808	
547	000547	航天发展	9.71	0.0	0	10.68	8.74	1605678881	1101872269	1	0.01	19931130	
548	000548	湖南投资	4.06	0.0	0	4.47	3.65	499215811	499169124	1	0.01	19931220	
550	000550	江铃汽车	13.85	0.0	0	15.24	12.47	863214000	518427060	1	0.01	19931201	
551	000551	创元科技	6.5	0.0	0	7.15	5.85	400080405	400080405	1	0.01	19940106	
552	000552	靖远煤电	2.49	0.0	0	2.74	2.24	2286971050	2283741262	1	0.01	20060330	
553	000553	安道麦A	9.94	0.0	0	10.93	8.95	2446553582	468616702	1	0.01	19931203	
554	000554	泰山石油	4.72	0.0	0	5.19	4.25	480793320	362649713	1	0.01	19931215	
555	000555	神州信息	12.58	0.0	0	13.84	11.32	970381273	941084909	1	0.01	19940408	
557	000557	西部创业	3.3	0.0	0	3.63	2.97	1458374735	1457916198	1	0.01	20021216	
558	000558	莱茵体育	3.18	0.0	0	3.5	2.86	1289223949	1288419854	1	0.01	19940509	
559	000559	万向钱潮	5.18	0.0	0	5.7	4.66	2753159454	2753149374	1	0.01	19940110	
560	000560	我爱我家	4.24	0.0	0	4.66	3.82	2355500851	1797750374	1	0.01	19940202	
561	000561	烽火电子	7.11	0.0	0	7.82	6.4	604692321	596494745	1	0.01	20051017	
563	000563	陕国投Ａ	4.18	0.0	0	4.6	3.76	3964012846	3964012846	1	0.01	19940110	
564	000564	供销大集	2.33	0.0	0	2.56	2.1	6007828231	2005895931	1	0.01	19940110	
